No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
11,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,175.43B,17.57,99.28,-0.07%,"6,153,189",S&P 500,17.57,5.65,0.10%,1.48B,1.12%,175.43B,8.45,14.53%,-1.99%,1.47B,4.96%,8.39B,1.71,2.13,62.90%,1.34%,31.69%,34.06B,5.15,42.30%,1.31%,1.91,11.69%,-5.01,-,11.30%,104.44,39.36%,-,-,10.28%,-103.70%,62.55 - 100.69,12.13%,4.72,25.02,36.80%,21.20%,-1.40%,0.82,4.75%,3.00,10.80%,77.10%,58.72%,2.38,30000,3.10,10.10%,39.90%,67.05,2.10% 2.54%,Yes,-,22.50%,24.60%,0.60,99.35,Yes,-,May 01 BMO,77.50%,10.33M,99.28,1.90,2.91%,8.13%,16.44%,"6,153,189",-0.07%
12,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,19.65B,12.80,97.21,-1.11%,"906,266",S&P 500,12.80,7.59,0.20%,205.37M,-3.53%,19.65B,11.89,9.60%,-39.77%,146.20M,-4.98%,1.58B,1.56,1.56,67.40%,2.50%,11.48%,186.16B,0.11,-18.60%,-2.86%,2.72,14.86%,17.48,5.56,4.00%,101.67,10.18%,18.27,5.32,8.23%,51.00%,72.06 - 103.37,14.34%,1.68,12.25,26.40%,13.00%,-5.96%,0.62,1.73%,0.60,8.50%,2.80%,34.90%,2.65,22000,1.00,9.50%,0.60%,48.33,2.28% 2.59%,Yes,1.15,3438.90%,0.90%,0.67,98.30,Yes,1.01,Aug 05 BMO,21.20%,1.35M,97.21,2.40,-1.97%,2.90%,9.66%,"906,266",-1.11%
13,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,44.21B,15.97,2.81,3.69%,"33,392,838",-,15.97,0.18,-,15.73B,6.44%,44.21B,20.07,40.00%,-,4.39B,-6.33%,-,-,0.01,8.30%,0.93%,18.57%,-,-,-47.40%,-,1.22,-39.31%,0.99,2.85,-,3.09,-41.90%,-,-,-8.20%,-,1.90 - 5.31,-39.70%,0.12,-,39.83%,-,-47.12%,-,4.27%,-,-,-,47.89%,0.14,50000,-,-0.30%,-,59.30,4.07% 4.36%,Yes,-,-59.00%,-,1.00,2.71,Yes,-,-,-,33.56M,2.81,3.10,5.14%,16.08%,-18.92%,"33,392,838",3.69%
14,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.23B,-,32.99,-2.45%,"392,918",-,-,-0.36,0.90%,66.90M,-9.12%,2.23B,14.83,13.06%,-2.02%,66.00M,-10.23%,-24.00M,-,0.44,98.60%,3.05%,25.34%,6.40B,0.35,78.50%,-3.16%,3.70,-13.16%,20.86,1.58,-0.60%,43.25,-18.36%,8.21,4.02,16.00%,-1.60%,19.79 - 42.67,-12.52%,0.74,9.52,10.20%,7.50%,-22.69%,1.28,2.24%,1.80,6.90%,12.50%,66.70%,1.81,140000,1.80,-6.20%,0.80%,43.19,3.67% 5.14%,Yes,0.86,-556.80%,-0.40%,0.72,33.82,Yes,0.79,Jun 17 AMC,-,543.51K,32.99,2.30,-6.49%,-2.63%,-5.26%,"392,918",-2.45%
15,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,11.55B,59.99,265.64,0.40%,"270,111",S&P 500,59.99,4.43,1.40%,45.04M,9.97%,11.55B,54.96,42.90%,-3.72%,43.98M,4.87%,203.00M,2.50,0.29,98.20%,5.37%,73.87%,840.90M,13.74,-21.00%,-3.20%,4.39,47.29%,23.66,11.23,17.40%,214.40,3.24%,10.19,26.07,24.00%,19.80%,119.01 - 285.77,55.72%,-,42.65,10.80%,17.90%,-7.04%,0.92,-,4.10,29.60%,82.00%,123.21%,9.00,1536,4.80,-0.20%,29.10%,69.40,3.87% 3.54%,Yes,0.00,-56.30%,24.10%,0.50,264.59,Yes,0.00,Apr 30 BMO,0.00%,537.75K,265.64,2.30,6.34%,20.63%,43.06%,"270,111",0.40%
16,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,162.71B,46.45,92.58,0.13%,"3,809,239",S&P 500,46.45,1.99,0.70%,1.77B,1.26%,162.71B,25.17,29.64%,-6.02%,1.76B,0.02%,3.55B,4.52,0.41,76.30%,0.73%,13.00%,32.10B,5.07,45.20%,-0.34%,1.65,7.83%,17.08,5.42,5.30%,101.93,8.57%,2.09,44.36,10.28%,11.50%,61.61 - 100.00,6.59%,1.44,76.28,12.40%,8.20%,-7.42%,0.96,1.56%,1.00,9.50%,58.50%,50.27%,2.43,107000,1.40,2.50%,14.00%,54.22,1.68% 2.64%,Yes,0.60,-8.60%,11.20%,0.49,92.46,Yes,0.56,Jul 16 BMO,65.30%,7.78M,92.58,1.90,2.45%,1.54%,7.79%,"3,809,239",0.13%
17,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,8.57B,-,56.40,-1.05%,"1,395,341",-,-,-1.58,0.10%,155.37M,16.36%,8.57B,-,68.80%,355.00%,113.56M,20.49%,-238.00M,-,-0.44,99.60%,10.12%,35.22%,366.20M,23.39,17.50%,3.14%,7.29,33.71%,4.11,13.72,-34.50%,59.27,107.28%,4.29,13.15,25.00%,-39.40%,21.56 - 58.72,31.84%,-,-,-10.90%,-35.40%,-3.95%,1.78,-,7.20,390.00%,94.50%,161.60%,2.56,550,7.30,43.00%,-67.80%,67.24,4.50% 4.95%,Yes,0.00,4.40%,-65.00%,0.89,57.00,Yes,0.00,May 07 AMC,-,1.58M,56.40,1.70,13.68%,14.26%,27.51%,"1,395,341",-1.05%
18,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,4.48B,33.25,32.22,-2.19%,"2,191,891",-,33.25,0.97,0.80%,137.48M,-7.84%,4.48B,53.43,4.15%,0.91%,136.56M,-19.71%,134.20M,1.89,-0.05,96.90%,3.41%,12.19%,950.30M,4.71,-28.40%,0.64%,2.61,-28.64%,24.08,1.34,1.80%,40.75,-34.02%,1.27,25.31,17.62%,4.00%,20.13 - 50.94,-31.49%,1.88,38.22,1.50%,3.00%,-36.75%,1.05,5.83%,-,5.10%,53.50%,60.06%,1.71,3096,-,3.00%,26.60%,39.01,5.14% 4.38%,Yes,1.07,175.00%,14.10%,1.23,32.94,Yes,1.07,Jul 20 AMC,192.50%,1.79M,32.22,2.20,-10.53%,-5.50%,-21.56%,"2,191,891",-2.19%
19,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,11.24B,8.84,27.65,0.51%,"2,009,262",-,8.84,3.13,1.40%,403.89M,-3.49%,11.24B,10.93,221.76%,-4.39%,393.77M,-22.44%,1.29B,4.17,0.03,88.60%,0.77%,-0.82%,6.67B,1.69,124.20%,-1.67%,1.22,-35.94%,26.21,1.05,3.50%,36.00,-28.03%,2.17,12.74,2.12%,12.40%,20.93 - 48.32,-35.53%,-,4.71,14.10%,13.10%,-42.78%,0.74,-,-,11.20%,-,32.11%,1.36,4300,-,-8.30%,18.70%,43.08,3.79% 4.51%,Yes,0.22,-69.90%,19.30%,0.80,27.51,Yes,0.22,May 04 AMC,0.00%,2.50M,27.65,2.40,-6.97%,-1.10%,-24.39%,"2,009,262",0.51%
20,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,7.39B,46.18,6.05,7.84%,"244,500",-,46.18,0.13,-,680.91M,28.72%,7.39B,-,-,-,429.49M,15.02%,89.40M,-,-,1.30%,0.01%,15.68%,26.88B,0.28,8.10%,-0.23%,0.33,-29.81%,11.35,0.53,0.30%,-,-27.11%,1.30,4.64,-,1.20%,4.60 - 9.07,-30.38%,-,14.59,15.20%,3.70%,-33.30%,1.04,-,0.40,6.00%,6.40%,31.52%,0.22,65507,0.70,6.20%,3.40%,71.30,2.90% 2.06%,Yes,1.86,-95.50%,0.30%,2.61,5.61,Yes,1.08,-,0.00%,93.69K,6.05,-,22.52%,21.72%,-9.24%,"244,500",7.84%
21,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.24B,19.70,25.31,0.48%,"318,262",-,19.70,1.29,0.80%,87.77M,0.76%,2.24B,10.57,28.50%,-14.71%,87.12M,-19.37%,112.90M,2.36,0.38,-,10.21%,35.78%,3.13B,0.72,161.50%,-3.53%,11.10,-24.77%,28.08,0.90,1.70%,31.42,-24.72%,0.91,27.70,8.33%,4.60%,11.09 - 35.30,-23.81%,-,6.90,-3.80%,5.20%,-28.30%,1.37,-,0.90,25.30%,-,128.22%,1.31,28400,0.90,2.90%,10.20%,44.65,3.97% 5.34%,Yes,1.29,13.20%,3.60%,0.40,25.19,Yes,1.21,May 04 AMC,0.00%,801.46K,25.31,2.30,-3.18%,-3.99%,-10.84%,"318,262",0.48%
22,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,7.24B,9.06,15.16,-0.13%,"3,686,493",-,9.06,1.67,3.10%,477.51M,-3.87%,7.24B,-,-,-,464.00M,-,466.40M,-,-,73.63%,-,-,62.46B,0.12,523.60%,-,-,-,-,-,1.90%,-,-,0.99,15.38,-,20.50%,15.10 - 16.50,-1.88%,-,16.88,18.90%,10.90%,-8.12%,-,-,0.20,18.10%,28.20%,0.40%,0.49,270000,1.00,10.10%,2.10%,-,2.13% -,Yes,3.83,-51.90%,0.70%,0.38,15.18,Yes,3.73,-,0.00%,9.72M,15.16,-,-2.70%,-2.70%,-2.70%,"3,686,493",-0.13%
23,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.83B,69.91,67.46,0.42%,"405,554",-,69.91,0.97,6.10%,41.58M,0.40%,2.83B,27.53,9.77%,-3.29%,38.77M,-0.50%,41.50M,-,0.51,83.20%,14.64%,0.34%,485.10M,5.83,559.20%,0.28%,8.84,-1.35%,14.50,4.65,5.90%,70.00,3.93%,8.78,7.69,-12.00%,7.30%,47.51 - 69.13,-0.52%,-,52.73,73.90%,3.90%,-2.42%,0.93,-,4.50,26.00%,47.40%,41.99%,0.58,429,4.80,19.40%,4.40%,44.07,0.76% 0.75%,Yes,0.00,118.60%,8.60%,0.63,67.18,Yes,0.00,-,0.00%,642.05K,67.46,2.80,-0.51%,-0.50%,0.50%,"405,554",0.42%
24,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,2.96B,44.22,25.34,0.20%,"530,516",-,44.22,0.57,1.50%,116.01M,-6.11%,2.96B,20.91,83.08%,1.77%,113.33M,-12.86%,68.60M,3.69,-0.04,-,4.64%,4.93%,1.34B,2.20,19.00%,0.20%,7.27,-34.28%,9.20,2.75,2.10%,35.33,-24.61%,1.02,24.87,12.00%,6.40%,20.03 - 39.37,-33.11%,-,22.56,-0.50%,4.70%,-35.64%,1.34,-,1.40,4.40%,50.30%,26.51%,1.04,4018,1.40,41.60%,9.70%,38.52,3.46% 3.90%,Yes,1.27,5.80%,5.10%,0.73,25.29,Yes,1.24,May 07 BMO,0.00%,723.55K,25.34,1.80,-5.89%,-5.23%,-17.32%,"530,516",0.20%
25,ACM,AECOM,Industrials,Engineering & Construction,USA,5.73B,-,35.96,0.90%,"900,681",-,-,-2.06,0.80%,158.55M,-4.31%,5.73B,13.95,23.11%,0.66%,152.39M,-20.35%,-323.40M,-,0.49,89.20%,3.12%,22.73%,16.58B,0.35,-405.90%,0.11%,2.54,-16.57%,22.27,1.61,-3.00%,46.11,-2.81%,-,-,17.30%,-11.50%,21.76 - 52.40,-16.62%,-,21.39,-22.10%,0.30%,-31.37%,1.75,-,1.20,19.30%,4.70%,65.26%,1.61,86000,1.20,-4.90%,-0.20%,42.44,3.23% 3.99%,Yes,0.60,4.70%,-2.60%,0.48,35.64,Yes,0.59,May 05 BMO,-,1.87M,35.96,1.60,-6.00%,-4.01%,-9.74%,"900,681",0.90%
26,ACN,Accenture plc,Technology,Information Technology Services,Ireland,144.52B,28.51,218.89,1.18%,"1,722,917",S&P 500,28.51,7.68,0.10%,636.15M,1.94%,144.52B,27.09,5.79%,-12.98%,635.10M,3.60%,4.95B,3.81,1.73,74.00%,1.08%,33.37%,44.55B,3.24,11.30%,-0.43%,2.86,7.34%,25.17,8.70,15.10%,224.88,14.55%,9.76,22.42,7.48%,32.40%,137.15 - 219.87,3.95%,3.20,28.93,10.30%,33.90%,-0.45%,1.05,1.46%,1.40,6.30%,31.40%,59.60%,5.27,492000,1.40,-1.00%,14.70%,63.64,1.53% 2.32%,Yes,0.00,-1.20%,11.10%,0.72,216.33,Yes,0.00,Jun 25 BMO,49.60%,2.41M,218.89,2.20,5.20%,10.42%,13.59%,"1,722,917",1.18%
27,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,217.98B,60.30,457.68,1.85%,"1,978,617",S&P 500,60.30,7.59,0.10%,481.00M,5.14%,217.98B,41.18,13.80%,-24.11%,477.53M,15.06%,3.70B,4.02,2.41,88.00%,0.97%,48.15%,12.05B,18.10,7.80%,-0.17%,1.53,37.28%,22.62,20.23,17.70%,424.65,50.45%,9.14,50.10,15.00%,35.10%,255.13 - 459.44,38.77%,-,49.16,62.70%,20.60%,-0.38%,0.93,-,1.30,21.90%,85.60%,79.39%,11.16,22634,1.30,14.00%,31.40%,71.12,1.94% 2.53%,Yes,0.38,76.60%,30.70%,0.65,449.36,Yes,0.38,Jun 11 AMC,0.00%,3.03M,457.68,2.00,7.79%,16.79%,36.40%,"1,978,617",1.85%
28,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,3.48B,33.30,63.94,-1.27%,"434,989",-,33.30,1.92,1.60%,53.85M,-2.69%,3.48B,35.46,3.15%,0.62%,46.18M,-6.34%,82.60M,-,0.41,90.02%,15.71%,6.46%,200.90M,17.33,8.40%,16.51%,10.02,-8.64%,38.63,1.66,3.20%,74.64,-2.92%,1.32,48.30,-0.90%,5.20%,45.23 - 80.51,-8.88%,2.40,191.33,9.50%,3.90%,-20.58%,0.30,3.75%,-,28.50%,88.10%,41.37%,2.51,41,-,31.90%,53.90%,43.33,3.07% 3.89%,Yes,0.58,-2.50%,41.10%,0.60,64.76,Yes,0.58,Jul 20 AMC,117.40%,723.67K,63.94,1.60,-4.24%,-1.22%,-8.21%,"434,989",-1.27%
29,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,3.16B,-,44.62,-6.08%,"204,224",-,-,-,-,70.73M,-4.68%,3.16B,-,11.70%,-,26.94M,26.58%,-,-,-0.70,-,4.88%,-,2.34M,1348.70,-,-,3.54,-,-,-,-,53.00,-,-,-,-,-,28.50 - 56.59,50.49%,-,-,-,-,-21.15%,-,-,-,-,-,56.56%,3.10,-,-,-100.00%,-,-,9.99% 6.72%,No,-,-,-,0.55,47.51,Yes,-,-,-,371.20K,44.62,2.00,4.19%,13.86%,13.86%,"204,224",-6.08%
30,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,44.94B,41.01,122.86,0.20%,"1,802,306",S&P 500,41.01,3.00,0.20%,368.22M,0.18%,44.94B,24.49,17.44%,-6.56%,367.17M,-0.69%,1.12B,6.42,1.08,88.30%,1.34%,27.65%,5.54B,8.11,-12.10%,-0.45%,2.08,2.74%,31.48,3.90,5.20%,128.41,8.45%,2.15,57.26,6.39%,9.50%,79.07 - 127.39,3.38%,2.48,47.97,13.00%,9.20%,-3.56%,1.37,2.02%,0.90,15.90%,65.60%,55.37%,3.32,16400,1.30,-57.10%,25.30%,56.29,1.88% 2.57%,Yes,0.48,-62.70%,20.00%,0.76,122.62,Yes,0.44,May 20 BMO,74.40%,2.37M,122.86,2.00,1.63%,7.00%,10.75%,"1,802,306",0.20%
31,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,21.41B,14.00,38.68,-1.38%,"2,465,680",S&P 500,14.00,2.76,0.40%,563.00M,-3.06%,21.41B,11.72,17.86%,-0.93%,553.10M,-9.82%,1.56B,-,0.50,79.60%,2.00%,7.50%,64.32B,0.33,-19.90%,-2.08%,3.75,-14.25%,33.66,1.15,3.50%,47.22,-7.40%,-,-,-8.80%,8.10%,28.92 - 47.20,-16.55%,1.44,-,-6.00%,4.20%,-18.05%,0.95,3.72%,1.00,-4.50%,6.50%,33.75%,1.05,38100,1.50,-2.20%,2.10%,45.24,2.11% 2.47%,Yes,0.66,57.00%,2.40%,0.84,39.22,Yes,0.45,Apr 29 AMC,51.60%,2.95M,38.68,2.10,-3.16%,1.40%,-4.08%,"2,465,680",-1.38%
32,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,63.04B,25.39,148.10,0.75%,"1,291,815",S&P 500,25.39,5.83,0.10%,430.00M,-0.53%,63.04B,25.95,-0.54%,-5.83%,429.00M,-8.10%,2.53B,2.08,0.96,82.30%,0.99%,8.13%,14.71B,4.29,12.30%,0.05%,1.88,-11.91%,12.77,11.60,5.90%,156.07,-9.44%,4.01,36.91,12.20%,46.80%,103.11 - 182.32,-13.14%,3.64,45.73,15.30%,31.10%,-18.77%,0.83,2.46%,1.00,6.70%,42.90%,43.63%,3.98,58000,1.00,5.70%,21.90%,48.89,1.73% 2.74%,Yes,0.37,10.10%,17.20%,0.57,147.00,Yes,0.18,Jul 29 BMO,56.00%,2.27M,148.10,2.70,-0.77%,1.63%,-5.47%,"1,291,815",0.75%
33,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,6.23B,-,48.81,4.85%,"823,522",-,-,-0.66,4.30%,126.06M,0.89%,6.23B,-,-4.80%,-68.21%,119.33M,23.82%,-82.30M,-,-0.28,76.40%,2.33%,95.63%,93.30M,66.79,-42.00%,12.10%,2.63,64.68%,4.38,11.14,-10.00%,52.25,31.92%,4.35,11.22,9.00%,-23.10%,15.19 - 55.12,63.14%,-,-,-,-12.90%,-11.45%,-,-,7.40,-,75.70%,221.33%,2.03,453,7.50,64.60%,-99.60%,66.73,4.18% 4.82%,Yes,0.00,-58.30%,-88.20%,0.78,46.55,Yes,0.00,May 12 AMC,-,1.06M,48.81,1.50,7.63%,21.19%,54.97%,"823,522",4.85%
